,image_id,labels,boxes
0,1340,"[8, 7, 7, 1, 7, 7]","[[0.016689453274011612, 0.49460938572883606, 0.02128906175494194, 0.6735937595367432], [0.9746777415275574, 0.4515624940395355, 0.9792675971984863, 0.5970312356948853], [0.507080078125, 0.5179687738418579, 0.5103906393051147, 0.6117187738418579], [0.0, 0.4561718702316284, 0.018623046576976776, 0.6564843654632568], [0.16377930343151093, 0.5254687666893005, 0.17127929627895355, 0.801562488079071], [0.1620507836341858, 0.594531238079071, 0.1696191430091858, 0.8052343726158142]]"
1,124,"[1, 8, 5, 7, 7, 7, 7, 7]","[[0.0361328125, 0.6796875, 0.08369140326976776, 0.99609375], [0.4652734398841858, 0.5621874928474426, 0.4704003930091858, 0.7036718726158142], [0.46503907442092896, 0.6221093535423279, 0.46968749165534973, 0.7221875190734863], [0.4332031309604645, 0.6306250095367432, 0.43748047947883606, 0.7756249904632568], [0.45415037870407104, 0.5724218487739563, 0.4593456983566284, 0.7203124761581421], [0.040068358182907104, 0.5653125047683716, 0.045048829168081284, 0.690625011920929], [0.03886718675494194, 0.5567187666893005, 0.04189453274011612, 0.6781250238418579], [0.03507812321186066, 0.56640625, 0.03925781324505806, 0.68359375]]"
2,571,"[1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 7, 1, 7, 1]","[[0.46668946743011475, 0.48570311069488525, 0.4825976490974426, 0.5889843702316284], [0.41163086891174316, 0.5520312786102295, 0.4346581995487213, 0.6852343678474426], [0.5133105516433716, 0.47312501072883606, 0.5247851610183716, 0.5440624952316284], [0.2647949159145355, 0.6787499785423279, 0.27168944478034973, 0.9662500023841858], [0.47197264432907104, 0.7272655963897705, 0.5308300852775574, 1.0], [0.46815431118011475, 0.6228906512260437, 0.4931933581829071, 0.8881250023841858], [0.32246094942092896, 0.58203125, 0.33525389432907104, 0.649218738079071], [0.38215819001197815, 0.5528905987739563, 0.3963671922683716, 0.6518750190734863], [0.0, 0.6010156273841858, 0.03355468809604645, 1.0], [0.2237206995487213, 0.6159374713897705, 0.22593750059604645, 0.6924999952316284], [0.2323925793170929, 0.6216406226158142, 0.23435546457767487, 0.6911718845367432], [0.425048828125, 0.4998437464237213, 0.44172850251197815, 0.6185156106948853], [0.11287109553813934, 0.5211718678474426, 0.11522460728883743, 0.5860156416893005], [0.9774511456489563, 0.6004687547683716, 1.0, 1.0]]"
3,87,"[1, 1, 7, 7, 7, 6, 6, 5]","[[0.38203126192092896, 0.658984363079071, 0.43315428495407104, 0.97265625], [0.41889649629592896, 0.6364062428474426, 0.45292967557907104, 0.8219531178474426], [0.5650390386581421, 0.5873437523841858, 0.5811230540275574, 1.0], [0.506396472454071, 0.5962499976158142, 0.5122753977775574, 0.7092187404632568], [0.11643555015325546, 0.6671093702316284, 0.11957031488418579, 0.7607031464576721], [0.20607422292232513, 0.7401562333106995, 0.21821288764476776, 1.0], [0.21569335460662842, 0.7364062666893005, 0.22736328840255737, 0.9975781440734863], [0.6031249761581421, 0.6878125071525574, 0.6176660060882568, 0.852343738079071]]"
4,1003,"[3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 8, 1, 1, 1, 1]","[[0.017695313319563866, 0.4144531190395355, 0.026494139805436134, 0.5428125262260437], [0.028720702975988388, 0.39515626430511475, 0.05830078199505806, 0.6254687309265137], [0.022324219346046448, 0.55859375, 0.040107421576976776, 0.6910937428474426], [0.013115234673023224, 0.52734375, 0.022441405802965164, 0.5977343916893005], [0.0, 0.5767187476158142, 0.011796874925494194, 0.7416406273841858], [0.9936816692352295, 0.534375011920929, 1.0, 0.7400000095367432], [0.18831054866313934, 0.917187511920929, 0.24599608778953552, 1.0], [0.9424511790275574, 0.5357031226158142, 0.9761132597923279, 0.8997656106948853], [0.48491209745407104, 0.6677343845367432, 0.524707019329071, 1.0], [0.49650391936302185, 0.5790625214576721, 0.5151464939117432, 0.6838281154632568], [0.4466796815395355, 0.6234375238418579, 0.47297850251197815, 0.8773437738418579], [0.5843847393989563, 0.45320311188697815, 0.5884863138198853, 0.545703113079071], [0.59033203125, 0.5034375190734863, 0.5962988138198853, 0.66796875], [0.9781152606010437, 0.49140626192092896, 0.9904491901397705, 0.6270312666893005], [0.5161426067352295, 0.5394531488418579, 0.5252929925918579, 0.658984363079071], [0.5329785346984863, 0.5111718773841858, 0.572949230670929, 0.973437488079071], [0.4703320264816284, 0.5783593654632568, 0.48416993021965027, 0.7098437547683716]]"
5,611,"[1, 8, 5, 7, 7, 7, 7, 7, 7, 7, 1, 5, 1, 1, 7, 1, 1, 1, 1, 5, 5, 5]","[[0.07990234345197678, 0.5658593773841858, 0.09126953035593033, 0.63671875], [0.2684570252895355, 0.591015636920929, 0.27882811427116394, 0.9453125], [0.2625976502895355, 0.774218738079071, 0.2841503918170929, 0.967578113079071], [0.4462011754512787, 0.5793750286102295, 0.4503222703933716, 0.712109386920929], [0.4733203053474426, 0.5573437213897705, 0.47678712010383606, 0.6512500047683716], [0.46842774748802185, 0.5626562237739563, 0.47208985686302185, 0.6614843606948853], [0.46486327052116394, 0.560546875, 0.46873047947883606, 0.6755468845367432], [0.5371972918510437, 0.5385937690734863, 0.5415820479393005, 0.6830468773841858], [0.5344824194908142, 0.5403906106948853, 0.5376074314117432, 0.6703125238418579], [0.5287206768989563, 0.5401562452316284, 0.5325976610183716, 0.6643750071525574], [0.9714159965515137, 0.5805468559265137, 0.9929980635643005, 0.7981250286102295], [0.85546875, 0.5864062309265137, 0.8646191358566284, 0.737500011920929], [0.0, 0.6017187237739563, 0.034541014581918716, 1.0], [0.0051074218936264515, 0.5239843726158142, 0.019169921055436134, 0.615234375], [0.1325390636920929, 0.5803124904632568, 0.1395605504512787, 0.8700000047683716], [0.019228516146540642, 0.5548437237739563, 0.03682617098093033, 0.741015613079071], [0.490234375, 0.6710156202316284, 0.5276074409484863, 1.0], [0.5159277319908142, 0.576953113079071, 0.5260449051856995, 0.6595312356948853], [0.4982617199420929, 0.5849218964576721, 0.5137500166893005, 0.7030468583106995], [0.9067676067352295, 0.5469531416893005, 0.9194140434265137, 0.684374988079071], [0.9003515839576721, 0.561718761920929, 0.9115331768989563, 0.678906261920929], [0.8822656273841858, 0.5610937476158142, 0.8965625166893005, 0.7077343463897705]]"
6,1435,"[1, 7, 8, 1, 7, 7, 7, 7, 1, 1, 1]","[[0.508984386920929, 0.6194531321525574, 0.551953136920929, 0.9609375], [0.5485156178474426, 0.5221093893051147, 0.553906261920929, 0.6834375262260437], [0.07060547173023224, 0.524218738079071, 0.08602538704872131, 0.899218738079071], [0.24718749523162842, 0.5601562261581421, 0.2731249928474426, 0.6937500238418579], [0.006904297042638063, 0.49687498807907104, 0.014101562090218067, 0.8298437595367432], [0.013457030989229679, 0.5021874904632568, 0.020830078050494194, 0.8321874737739563], [0.039912108331918716, 0.4783593714237213, 0.048320312052965164, 0.7640625238418579], [0.0749804675579071, 0.4680468738079071, 0.0846875011920929, 0.8338281512260437], [0.28368163108825684, 0.5349218845367432, 0.30293944478034973, 0.6232030987739563], [0.28126952052116394, 0.5489843487739563, 0.29939451813697815, 0.651562511920929], [0.2653515636920929, 0.5350781083106995, 0.28865233063697815, 0.6762499809265137]]"
7,1282,"[7, 8, 7, 1, 1, 1, 1, 7, 1, 8, 1, 1, 1, 1]","[[0.40236327052116394, 0.6162499785423279, 0.4176953136920929, 0.9899218678474426], [0.5929296612739563, 0.48109376430511475, 0.6021191477775574, 0.6733593940734863], [0.5774609446525574, 0.524218738079071, 0.5890527367591858, 0.858203113079071], [0.0, 0.5064843893051147, 0.010136718861758709, 0.7184374928474426], [0.0007519531063735485, 0.5275781154632568, 0.011835937388241291, 0.6605468988418579], [0.4375976622104645, 0.5864843726158142, 0.46192383766174316, 0.8531249761581421], [0.7928808331489563, 0.5859375, 0.9273340106010437, 1.0], [0.8605273365974426, 0.3817187547683716, 0.8754003643989563, 0.9278905987739563], [0.9432910084724426, 0.520312488079071, 0.9794238209724426, 0.8512499928474426], [0.9769140481948853, 0.48164063692092896, 0.984814465045929, 0.6453906297683716], [0.9897265434265137, 0.46812498569488525, 1.0, 0.7087500095367432], [0.4513183534145355, 0.5063281059265137, 0.46638670563697815, 0.6696875095367432], [0.4790624976158142, 0.5555468797683716, 0.49229490756988525, 0.6349218487739563], [0.46763670444488525, 0.5649218559265137, 0.47965821623802185, 0.6418750286102295]]"
8,865,"[1, 7, 7, 7, 1, 1]","[[0.8924121260643005, 0.5065624713897705, 0.9238574504852295, 0.6989843845367432], [0.08577148616313934, 0.5307812690734863, 0.0930468738079071, 0.7521874904632568], [0.39705076813697815, 0.6018750071525574, 0.40163084864616394, 0.849609375], [0.6348046660423279, 0.5290625095367432, 0.6387695074081421, 0.7303906083106995], [0.49836912751197815, 0.598828136920929, 0.5119726657867432, 0.7364062666893005], [0.0, 0.5280468463897705, 0.01479492150247097, 0.7749218940734863]]"
9,1066,"[1, 1, 1, 1, 1, 1, 2, 1, 7]","[[0.01816406287252903, 0.5033593773841858, 0.03218749910593033, 0.6560156345367432], [0.3092968761920929, 0.6976562738418579, 0.4075976610183716, 1.0], [0.46113282442092896, 0.5618749856948853, 0.4791210889816284, 0.7476562261581421], [0.49583983421325684, 0.5758593678474426, 0.5173633098602295, 0.758984386920929], [0.4847460985183716, 0.6826562285423279, 0.5273827910423279, 0.9939062595367432], [0.39015623927116394, 0.5598437786102295, 0.40623047947883606, 0.6600781083106995], [0.00537109375, 0.3560156226158142, 0.017646484076976776, 0.572265625], [0.0, 0.5815625190734863, 0.028544921427965164, 0.9961718916893005], [0.4989257752895355, 0.5003906488418579, 0.5020312666893005, 0.5824999809265137]]"
